date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:50	58092/58092	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2022:02:41%20GMT	https://gnodesign.com/templates/cloudify/html/onepage.html	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/onepage.html	(from )
20:04:50	237/237	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jun%202024%2014:34:51%20GMT	https://gnodesign.com/robots.txt		(from )
20:04:51	682/682	---M--	200	added ('OK')	image/png	etag:%225fcea715-2aa%22	https://gnodesign.com/templates/cloudify/html/images/favicon.png	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/images/favicon.png	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:52	275/275	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jun%202024%2014:34:52%20GMT	https://gnodesign.com/templates/cloudify/html/images/apple-touch-icon.png	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/images/apple-touch-icon.png	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:52	117305/117305	---MCZ	200	added ('OK')	text/css	etag:W/%225fcea711-1ca39%22	https://gnodesign.com/templates/cloudify/html/css/bootstrap.min.css	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/css/bootstrap.min.css	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:52	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%225fcea714-5cbb%22	https://gnodesign.com/templates/cloudify/html/css/font-awesome.min.css	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/css/font-awesome.min.css	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:53	15564/15564	---MCZ	200	added ('OK')	text/css	etag:W/%225fcea713-3ccc%22	https://gnodesign.com/templates/cloudify/html/css/swiper.min.css	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/css/swiper.min.css	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:53	3228/3228	---MCZ	200	added ('OK')	text/css	etag:W/%225fcea714-c9c%22	https://gnodesign.com/templates/cloudify/html/css/owl.carousel.min.css	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/css/owl.carousel.min.css	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:53	92732/92732	---MCZ	200	added ('OK')	text/css	etag:W/%225fcea714-16a3c%22	https://gnodesign.com/templates/cloudify/html/css/style.css	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/css/style.css	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:54	21766/21766	---MCZ	200	added ('OK')	text/css	etag:W/%225fcea713-5506%22	https://gnodesign.com/templates/cloudify/html/css/responsive.css	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/css/responsive.css	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:54	696/696	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fcea761-2b8%22	https://gnodesign.com/templates/cloudify/html/images/clouds/cloud-blue.svg	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/images/clouds/cloud-blue.svg	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:54	696/696	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fcea761-2b8%22	https://gnodesign.com/templates/cloudify/html/images/clouds/cloud-green.svg	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/images/clouds/cloud-green.svg	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:54	60541/60541	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2022:02:38%20GMT	https://gnodesign.com/templates/cloudify/html/index.html	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/index.html	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:55	5183/5183	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fcea716-143f%22	https://gnodesign.com/templates/cloudify/html/images/logo.svg	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/images/logo.svg	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:56	210812/210812	---M--	200	added ('OK')	image/jpeg	etag:%225fcea763-3377c%22	https://gnodesign.com/templates/cloudify/html/images/img/image1.jpg	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/images/img/image1.jpg	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:56	218740/218740	---M--	200	added ('OK')	image/jpeg	etag:%225fcea70e-35674%22	https://gnodesign.com/templates/cloudify/html/video/video.jpg	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/video/video.jpg	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:57	4224759/4224759	---M--	200	added ('OK')	video/mp4	etag:%225fcea714-4076f7%22	https://gnodesign.com/templates/cloudify/html/video/video.mp4	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/video/video.mp4	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:57	37730/37730	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fcea762-9362%22	https://gnodesign.com/templates/cloudify/html/images/img/about.svg	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/images/img/about.svg	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:58	693/693	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fcea760-2b5%22	https://gnodesign.com/templates/cloudify/html/images/clouds/cloud1.svg	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/images/clouds/cloud1.svg	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:58	2984427/2984427	---M--	200	added ('OK')	video/webm	etag:%222d89eb-5b5e7046aa850%22	https://gnodesign.com/templates/cloudify/html/video/video.webm	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/video/video.webm	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:58	672/672	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fcea760-2a0%22	https://gnodesign.com/templates/cloudify/html/images/clouds/cloud2.svg	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/images/clouds/cloud2.svg	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:58	3523079/3523079	---M--	200	added ('OK')	video/ogg	etag:%2235c207-5b5e70489e851%22	https://gnodesign.com/templates/cloudify/html/video/video.ogv	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/video/video.ogv	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:59	770/770	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fcea761-302%22	https://gnodesign.com/templates/cloudify/html/images/clouds/cloud3.svg	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/images/clouds/cloud3.svg	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:59	3353/3353	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fcea76a-d19%22	https://gnodesign.com/templates/cloudify/html/images/icons/cloud-server.svg	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/images/icons/cloud-server.svg	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
20:04:59	997/997	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fcea76a-3e5%22	https://gnodesign.com/templates/cloudify/html/images/icons/locked.svg	C:/Users/mitta/Downloads/Cloud%20Website/gnodesign.com/templates/cloudify/html/images/icons/locked.svg	(from https://gnodesign.com/templates/cloudify/html/onepage.html)
